NAME                         VERSION                            TYPE                    
Simple Launcher              1.1.0.14                           binary  (+5 duplicates)  
adduser                      3.137ubuntu1                       deb                      
anyio                        4.12.1                             python                   
apt                          2.8.3                              deb                      
apt-utils                    2.8.3                              deb                      
autocommand                  2.2.2                              python                   
av                           16.1.0                             python                   
backports-tarfile            1.2.0                              python                   
base-files                   13ubuntu10.3                       deb                      
base-passwd                  3.6.3build1                        deb                      
bash                         5.2.21-2ubuntu4                    deb                      
bsdutils                     1:2.39.3-9ubuntu6.4                deb                      
ca-certificates              20240203                           deb                      
catatonit                    0.1.7-1                            deb                      
certifi                      2026.1.4                           python                   
charset-normalizer           3.4.4                              python                   
cli                          UNKNOWN                            binary                   
cli-32                       UNKNOWN                            binary                   
cli-64                       UNKNOWN                            binary                   
cli-arm64                    UNKNOWN                            binary                   
click                        8.3.1                              python                   
coloredlogs                  15.0.1                             python                   
coreutils                    9.4-3ubuntu6.1                     deb                      
cron                         3.0pl1-184ubuntu2                  deb                      
cron-daemon-common           3.0pl1-184ubuntu2                  deb                      
ctranslate2                  4.6.3                              python                   
curl                         8.5.0-2ubuntu10.6                  deb                      
dash                         0.5.12-6ubuntu5                    deb                      
debconf                      1.5.86ubuntu1                      deb                      
debianutils                  5.17build1                         deb                      
diffutils                    1:3.10-1build1                     deb                      
dirmngr                      2.4.4-2ubuntu17.4                  deb                      
dpkg                         1.22.6ubuntu6.5                    deb                      
e2fsprogs                    1.47.0-2.4~exp1ubuntu4.1           deb                      
faster-whisper               1.2.1                              python                   
filelock                     3.20.3                             python                   
findutils                    4.9.0-5build1                      deb                      
flatbuffers                  25.12.19                           python                   
fsspec                       2026.1.0                           python                   
gcc-14-base                  14.2.0-4ubuntu2~24.04              deb                      
gnupg                        2.4.4-2ubuntu17.4                  deb                      
gnupg-l10n                   2.4.4-2ubuntu17.4                  deb                      
gnupg-utils                  2.4.4-2ubuntu17.4                  deb                      
gpg                          2.4.4-2ubuntu17.4                  deb                      
gpg-agent                    2.4.4-2ubuntu17.4                  deb                      
gpg-wks-client               2.4.4-2ubuntu17.4                  deb                      
gpgconf                      2.4.4-2ubuntu17.4                  deb                      
gpgsm                        2.4.4-2ubuntu17.4                  deb                      
gpgv                         2.4.4-2ubuntu17.4                  deb                      
grep                         3.11-4build1                       deb                      
gui                          UNKNOWN                            binary                   
gui-32                       UNKNOWN                            binary                   
gui-64                       UNKNOWN                            binary                   
gui-arm64                    UNKNOWN                            binary                   
gzip                         1.12-1ubuntu3.1                    deb                      
h11                          0.16.0                             python                   
hf-xet                       1.2.0                              python                   
hostname                     3.23+nmu2ubuntu2                   deb                      
httpcore                     1.0.9                              python                   
httpx                        0.28.1                             python                   
huggingface-hub              1.3.5                              python                   
humanfriendly                10.0                               python                   
idna                         3.11                               python                   
importlib-metadata           8.7.1                              python                   
init-system-helpers          1.66ubuntu1                        deb                      
jaraco-context               6.1.0                              python                   
jaraco-functools             4.4.0                              python                   
jaraco-text                  4.0.0                              python                   
jq                           1.7.1-3ubuntu0.24.04.1             deb                      
keyboxd                      2.4.4-2ubuntu17.4                  deb                      
krb5-locales                 1.20.1-6ubuntu2.6                  deb                      
libacl1                      2.3.2-1build1.1                    deb                      
libapt-pkg6.0t64             2.8.3                              deb                      
libassuan0                   2.5.6-1build1                      deb                      
